Source,Target,JourneyText,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,Weight
"Wellington Street , Strand","Russell Square Station, Bloomsbury","Wellington Street , Strand to Russell Square Station, Bloomsbury",0,0,1,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Speakers' Corner 1, Hyde Park","Lancaster Gate , Bayswater to Speakers' Corner 1, Hyde Park",0,0,3,0,1,0,0,0,4
"Bayswater Road, Hyde Park","Natural History Museum, South Kensington","Bayswater Road, Hyde Park to Natural History Museum, South Kensington",0,0,1,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Hyde Park Corner, Hyde Park","Speakers' Corner 1, Hyde Park to Hyde Park Corner, Hyde Park",0,0,1,0,0,0,0,0,1
"Golden Square, Soho","Millennium Hotel, Mayfair","Golden Square, Soho to Millennium Hotel, Mayfair",0,0,1,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Frith Street, Soho","Tavistock Place, Bloomsbury to Frith Street, Soho",0,0,1,0,1,0,0,0,2
"Wardour Street, Soho","Belgrove Street , King's Cross","Wardour Street, Soho to Belgrove Street , King's Cross",0,0,1,0,1,0,0,0,2
"Russell Square Station, Bloomsbury","Wardour Street, Soho","Russell Square Station, Bloomsbury to Wardour Street, Soho",0,0,1,0,1,0,0,0,2
"Bishop's Bridge Road East, Bayswater","Speakers' Corner 1, Hyde Park","Bishop's Bridge Road East, Bayswater to Speakers' Corner 1, Hyde Park",0,0,1,0,0,0,0,0,1
"Belgrove Street , King's Cross","Hereford Road, Bayswater","Belgrove Street , King's Cross to Hereford Road, Bayswater",0,0,1,0,0,0,0,0,1
"Hereford Road, Bayswater","Bishop's Bridge Road East, Bayswater","Hereford Road, Bayswater to Bishop's Bridge Road East, Bayswater",0,0,1,0,0,0,0,0,1
"Old Quebec Street, Marylebone","Belgrove Street , King's Cross","Old Quebec Street, Marylebone to Belgrove Street , King's Cross",0,0,4,0,0,0,0,0,4
"Hereford Road, Bayswater","Old Quebec Street, Marylebone","Hereford Road, Bayswater to Old Quebec Street, Marylebone",0,0,3,0,0,0,0,0,3
"Whiteley's, Bayswater","Westbourne Grove, Bayswater","Whiteley's, Bayswater to Westbourne Grove, Bayswater",0,0,3,2,0,2,0,0,7
"Marylebone Lane, Marylebone","Bishop's Bridge Road West, Bayswater","Marylebone Lane, Marylebone to Bishop's Bridge Road West, Bayswater",0,0,1,0,0,0,0,0,1
"Belgrove Street , King's Cross","Marylebone Lane, Marylebone","Belgrove Street , King's Cross to Marylebone Lane, Marylebone",0,0,1,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Old Quebec Street, Marylebone","Westbourne Grove, Bayswater to Old Quebec Street, Marylebone",0,0,1,0,0,0,0,0,1
"Howland Street, Fitzrovia","Wardour Street, Soho","Howland Street, Fitzrovia to Wardour Street, Soho",0,0,1,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Craven Street, Strand","Speakers' Corner 1, Hyde Park to Craven Street, Strand",0,0,1,0,0,0,0,0,1
"Craven Street, Strand","Russell Square Station, Bloomsbury","Craven Street, Strand to Russell Square Station, Bloomsbury",0,0,1,0,0,0,0,0,1
"Broadwick Street, Soho","Bayswater Road, Hyde Park","Broadwick Street, Soho to Bayswater Road, Hyde Park",0,0,1,0,0,0,1,0,2
"Lancaster Gate , Bayswater","Phillimore Gardens, Kensington","Lancaster Gate , Bayswater to Phillimore Gardens, Kensington",0,0,1,0,0,0,0,0,1
"Royal Avenue 1, Chelsea","Manresa Road, Chelsea","Royal Avenue 1, Chelsea to Manresa Road, Chelsea",0,0,1,0,0,0,0,0,1
"Phillimore Gardens, Kensington","Nevern Place, Earl's Court","Phillimore Gardens, Kensington to Nevern Place, Earl's Court",0,0,1,0,0,0,0,0,1
"Palace Gate, Kensington Gardens","Hereford Road, Bayswater","Palace Gate, Kensington Gardens to Hereford Road, Bayswater",0,0,1,0,0,0,0,0,1
"Kensington Town Hall, Kensington","Palace Gate, Kensington Gardens","Kensington Town Hall, Kensington to Palace Gate, Kensington Gardens",0,0,1,0,0,0,0,0,1
"Manresa Road, Chelsea","Royal Avenue 1, Chelsea","Manresa Road, Chelsea to Royal Avenue 1, Chelsea",0,0,1,0,0,0,0,0,1
"Albert Gate, Hyde Park","Royal Avenue 1, Chelsea","Albert Gate, Hyde Park to Royal Avenue 1, Chelsea",0,0,1,0,0,1,0,0,2
"Nevern Place, Earl's Court","Kensington Town Hall, Kensington","Nevern Place, Earl's Court to Kensington Town Hall, Kensington",0,0,1,0,0,0,0,0,1
"Flood Street, Chelsea","Albert Gate, Hyde Park","Flood Street, Chelsea to Albert Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Brunswick Square, Bloomsbury","Frith Street, Soho","Brunswick Square, Bloomsbury to Frith Street, Soho",0,0,1,0,0,0,0,0,1
"Moor Street, Soho","Broadwick Street, Soho","Moor Street, Soho to Broadwick Street, Soho",0,0,1,0,0,0,0,0,1
"George Street, Marylebone","Bayswater Road, Hyde Park","George Street, Marylebone to Bayswater Road, Hyde Park",0,0,1,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Westbourne Grove, Bayswater","Ilchester Gardens, Bayswater to Westbourne Grove, Bayswater",0,0,1,0,0,0,0,0,1
"Bayley Street , Bloomsbury","George Street, Marylebone","Bayley Street , Bloomsbury to George Street, Marylebone",0,0,1,0,0,0,0,0,1
"Great Marlborough Street, Soho","Belgrove Street , King's Cross","Great Marlborough Street, Soho to Belgrove Street , King's Cross",0,0,1,0,1,0,0,0,2
"Broadwick Street, Soho","Bishop's Bridge Road West, Bayswater","Broadwick Street, Soho to Bishop's Bridge Road West, Bayswater",0,0,1,5,3,1,1,0,11
"Westbourne Grove, Bayswater","Lancaster Gate , Bayswater","Westbourne Grove, Bayswater to Lancaster Gate , Bayswater",0,0,1,0,1,0,2,0,4
"Brunswick Square, Bloomsbury","Cumberland Gate, Hyde Park","Brunswick Square, Bloomsbury to Cumberland Gate, Hyde Park",0,0,1,0,0,1,0,0,2
"Wells Street, Fitzrovia ","Bayswater Road, Hyde Park","Wells Street, Fitzrovia  to Bayswater Road, Hyde Park",0,0,1,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","William IV Street, Strand","Speakers' Corner 1, Hyde Park to William IV Street, Strand",0,0,1,0,1,0,1,0,3
"Wellington Street , Strand","Belgrove Street , King's Cross","Wellington Street , Strand to Belgrove Street , King's Cross",0,0,1,0,0,0,1,0,2
"British Museum, Bloomsbury","Royal Avenue 1, Chelsea","British Museum, Bloomsbury to Royal Avenue 1, Chelsea",0,0,1,0,0,0,0,0,1
"Royal Avenue 1, Chelsea","Cadogan Place, Knightsbridge","Royal Avenue 1, Chelsea to Cadogan Place, Knightsbridge",0,0,1,0,0,0,0,0,1
"Albert Gate, Hyde Park","Devonshire Terrace, Bayswater","Albert Gate, Hyde Park to Devonshire Terrace, Bayswater",0,0,1,0,0,0,0,0,1
"Cadogan Place, Knightsbridge","Albert Gate, Hyde Park","Cadogan Place, Knightsbridge to Albert Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Hyde Park Corner, Hyde Park","Lancaster Gate , Bayswater to Hyde Park Corner, Hyde Park",0,0,1,0,0,0,0,0,1
"Flood Street, Chelsea","Royal Avenue 1, Chelsea","Flood Street, Chelsea to Royal Avenue 1, Chelsea",0,0,1,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Belgrove Street , King's Cross","Westbourne Grove, Bayswater to Belgrove Street , King's Cross",0,0,0,12,19,17,8,0,56
"Hinde Street, Marylebone","Bishop's Bridge Road West, Bayswater","Hinde Street, Marylebone to Bishop's Bridge Road West, Bayswater",0,0,0,1,0,0,0,0,1
"Broadwick Street, Soho","Chapel Place, Marylebone","Broadwick Street, Soho to Chapel Place, Marylebone",0,0,0,1,0,0,0,0,1
"Lancaster Gate , Bayswater","Lancaster Gate , Bayswater","Lancaster Gate , Bayswater to Lancaster Gate , Bayswater",0,0,0,1,0,2,2,0,5
"Warren Street Station, Euston","Bayswater Road, Hyde Park","Warren Street Station, Euston to Bayswater Road, Hyde Park",0,0,0,1,0,0,0,0,1
"Moor Street, Soho","British Museum, Bloomsbury","Moor Street, Soho to British Museum, Bloomsbury",0,0,0,1,0,0,0,0,1
"Hinde Street, Marylebone","Westbourne Grove, Bayswater","Hinde Street, Marylebone to Westbourne Grove, Bayswater",0,0,0,1,0,0,0,0,1
"Southampton Place, Holborn","Broadwick Street, Soho","Southampton Place, Holborn to Broadwick Street, Soho",0,0,0,2,0,0,0,0,2
"Westbourne Grove, Bayswater","Soho Square , Soho","Westbourne Grove, Bayswater to Soho Square , Soho",0,0,0,1,0,0,2,0,3
"St. Chad's Street, King's Cross","Earnshaw Street , Covent Garden","St. Chad's Street, King's Cross to Earnshaw Street , Covent Garden",0,0,0,1,0,0,0,0,1
"Lancaster Gate , Bayswater","Marylebone Lane, Marylebone","Lancaster Gate , Bayswater to Marylebone Lane, Marylebone",0,0,0,2,0,0,0,0,2
"Belgrove Street , King's Cross","Westminster University, Marylebone","Belgrove Street , King's Cross to Westminster University, Marylebone",0,0,0,1,0,1,0,0,2
"Earnshaw Street , Covent Garden","Russell Square Station, Bloomsbury","Earnshaw Street , Covent Garden to Russell Square Station, Bloomsbury",0,0,0,1,0,0,1,0,2
"Westminster University, Marylebone","Bayswater Road, Hyde Park","Westminster University, Marylebone to Bayswater Road, Hyde Park",0,0,0,1,0,0,0,0,1
"Marylebone Lane, Marylebone","Craven Street, Strand","Marylebone Lane, Marylebone to Craven Street, Strand",0,0,0,2,0,0,0,0,2
"Frith Street, Soho","Waterloo Roundabout, Waterloo ","Frith Street, Soho to Waterloo Roundabout, Waterloo ",0,0,0,1,0,0,0,0,1
"Craven Street, Strand","Belgrove Street , King's Cross","Craven Street, Strand to Belgrove Street , King's Cross",0,0,0,1,0,1,0,0,2
"Waterloo Roundabout, Waterloo ","Hyde Park Corner, Hyde Park","Waterloo Roundabout, Waterloo  to Hyde Park Corner, Hyde Park",0,0,0,1,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Cleveland Gardens, Bayswater","Bishop's Bridge Road West, Bayswater to Cleveland Gardens, Bayswater",0,0,0,1,0,0,0,0,1
"Bayley Street , Bloomsbury","Bishop's Bridge Road West, Bayswater","Bayley Street , Bloomsbury to Bishop's Bridge Road West, Bayswater",0,0,0,1,0,0,0,0,1
"British Museum, Bloomsbury","William IV Street, Strand","British Museum, Bloomsbury to William IV Street, Strand",0,0,0,1,0,0,0,0,1
"Southampton Place, Holborn","Belgrove Street , King's Cross","Southampton Place, Holborn to Belgrove Street , King's Cross",0,0,0,1,2,1,1,0,5
"William IV Street, Strand","Southampton Place, Holborn","William IV Street, Strand to Southampton Place, Holborn",0,0,0,1,0,0,0,0,1
"Moor Street, Soho","Albert Gate, Hyde Park","Moor Street, Soho to Albert Gate, Hyde Park",0,0,0,1,0,0,0,0,1
"Brunswick Square, Bloomsbury","William IV Street, Strand","Brunswick Square, Bloomsbury to William IV Street, Strand",0,0,0,1,3,0,1,0,5
"Golden Square, Soho","William IV Street, Strand","Golden Square, Soho to William IV Street, Strand",0,0,0,1,1,1,0,0,3
"Lancaster Gate , Bayswater","Golden Square, Soho","Lancaster Gate , Bayswater to Golden Square, Soho",0,0,0,1,0,1,0,0,2
"Whiteley's, Bayswater","Eastbourne Mews, Paddington","Whiteley's, Bayswater to Eastbourne Mews, Paddington",0,0,0,1,0,0,0,0,1
"Great Russell Street, Bloomsbury","Tavistock Place, Bloomsbury","Great Russell Street, Bloomsbury to Tavistock Place, Bloomsbury",0,0,0,1,0,0,0,0,1
"Eastbourne Mews, Paddington","Pembridge Villas, Notting Hill","Eastbourne Mews, Paddington to Pembridge Villas, Notting Hill",0,0,0,1,0,0,0,0,1
"Vauxhall Cross, Vauxhall","Vauxhall Walk, Vauxhall","Vauxhall Cross, Vauxhall to Vauxhall Walk, Vauxhall",0,0,0,1,0,0,0,0,1
"Waterloo Bridge, South Bank","Broadwick Street, Soho","Waterloo Bridge, South Bank to Broadwick Street, Soho",0,0,0,1,0,0,0,0,1
"Vauxhall Walk, Vauxhall","Waterloo Bridge, South Bank","Vauxhall Walk, Vauxhall to Waterloo Bridge, South Bank",0,0,0,1,0,0,0,0,1
"Hampstead Road, Euston","Belgrove Street , King's Cross","Hampstead Road, Euston to Belgrove Street , King's Cross",0,0,0,1,0,1,0,0,2
"Cardinal Place, Victoria","Vauxhall Cross, Vauxhall","Cardinal Place, Victoria to Vauxhall Cross, Vauxhall",0,0,0,1,0,0,0,0,1
"Westbourne Grove, Bayswater","Hampstead Road, Euston","Westbourne Grove, Bayswater to Hampstead Road, Euston",0,0,0,1,0,1,0,0,2
"Broadwick Street, Soho","Cardinal Place, Victoria","Broadwick Street, Soho to Cardinal Place, Victoria",0,0,0,1,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Belgrove Street , King's Cross","Bishop's Bridge Road West, Bayswater to Belgrove Street , King's Cross",0,0,0,0,1,1,0,0,2
"William IV Street, Strand","Russell Square Station, Bloomsbury","William IV Street, Strand to Russell Square Station, Bloomsbury",0,0,0,0,1,1,0,0,2
"Charles II Street, West End","Belgrove Street , King's Cross","Charles II Street, West End to Belgrove Street , King's Cross",0,0,0,0,1,0,0,0,1
"Turquoise Island, Notting Hill","Bishop's Bridge Road West, Bayswater","Turquoise Island, Notting Hill to Bishop's Bridge Road West, Bayswater",0,0,0,0,1,0,0,0,1
"Eastbourne Mews, Paddington","Turquoise Island, Notting Hill","Eastbourne Mews, Paddington to Turquoise Island, Notting Hill",0,0,0,0,1,0,0,0,1
"Belgrove Street , King's Cross","Eastbourne Mews, Paddington","Belgrove Street , King's Cross to Eastbourne Mews, Paddington",0,0,0,0,1,1,0,0,2
"William IV Street, Strand","Charles II Street, West End","William IV Street, Strand to Charles II Street, West End",0,0,0,0,1,0,0,0,1
"Wardour Street, Soho","Lancaster Gate , Bayswater","Wardour Street, Soho to Lancaster Gate , Bayswater",0,0,0,0,1,2,0,0,3
"William IV Street, Strand","British Museum, Bloomsbury","William IV Street, Strand to British Museum, Bloomsbury",0,0,0,0,2,0,0,0,2
"Earnshaw Street , Covent Garden","Frith Street, Soho","Earnshaw Street , Covent Garden to Frith Street, Soho",0,0,0,0,1,0,0,0,1
"Lancaster Gate , Bayswater","Soho Square , Soho","Lancaster Gate , Bayswater to Soho Square , Soho",0,0,0,0,1,0,0,0,1
"Soho Square , Soho","William IV Street, Strand","Soho Square , Soho to William IV Street, Strand",0,0,0,0,1,0,0,0,1
"William IV Street, Strand","Wardour Street, Soho","William IV Street, Strand to Wardour Street, Soho",0,0,0,0,2,0,1,0,3
"Brunswick Square, Bloomsbury","Russell Square Station, Bloomsbury","Brunswick Square, Bloomsbury to Russell Square Station, Bloomsbury",0,0,0,0,1,0,0,0,1
"Great Marlborough Street, Soho","Bishop's Bridge Road West, Bayswater","Great Marlborough Street, Soho to Bishop's Bridge Road West, Bayswater",0,0,0,0,1,0,0,0,1
"Soho Square , Soho","Southampton Place, Holborn","Soho Square , Soho to Southampton Place, Holborn",0,0,0,0,1,0,0,0,1
"Broadwick Street, Soho","Speakers' Corner 2, Hyde Park","Broadwick Street, Soho to Speakers' Corner 2, Hyde Park",0,0,0,0,1,0,0,0,1
"British Museum, Bloomsbury","Great Russell Street, Bloomsbury","British Museum, Bloomsbury to Great Russell Street, Bloomsbury",0,0,0,0,1,0,0,0,1
"Brunswick Square, Bloomsbury","British Museum, Bloomsbury","Brunswick Square, Bloomsbury to British Museum, Bloomsbury",0,0,0,0,1,0,0,0,1
"Brunswick Square, Bloomsbury","Soho Square , Soho","Brunswick Square, Bloomsbury to Soho Square , Soho",0,0,0,0,1,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Turquoise Island, Notting Hill","Bishop's Bridge Road West, Bayswater to Turquoise Island, Notting Hill",0,0,0,0,2,0,0,0,2
"Turquoise Island, Notting Hill","Whiteley's, Bayswater","Turquoise Island, Notting Hill to Whiteley's, Bayswater",0,0,0,0,2,0,0,0,2
"Panton Street, West End","William IV Street, Strand","Panton Street, West End to William IV Street, Strand",0,0,0,0,1,0,0,0,1
"Wardour Street, Soho","Sardinia Street, Holborn","Wardour Street, Soho to Sardinia Street, Holborn",0,0,0,0,1,0,0,0,1
"Doric Way , Somers Town","Speakers' Corner 2, Hyde Park","Doric Way , Somers Town to Speakers' Corner 2, Hyde Park",0,0,0,0,1,0,0,0,1
"William IV Street, Strand","Frith Street, Soho","William IV Street, Strand to Frith Street, Soho",0,0,0,0,1,0,0,0,1
"Great Marlborough Street, Soho","Old Quebec Street, Marylebone","Great Marlborough Street, Soho to Old Quebec Street, Marylebone",0,0,0,0,1,0,0,0,1
"Ilchester Gardens, Bayswater","Lancaster Gate , Bayswater","Ilchester Gardens, Bayswater to Lancaster Gate , Bayswater",0,0,0,0,1,0,0,0,1
"Old Quebec Street, Marylebone","Lancaster Gate , Bayswater","Old Quebec Street, Marylebone to Lancaster Gate , Bayswater",0,0,0,0,1,0,0,0,1
"Great Marlborough Street, Soho","Whiteley's, Bayswater","Great Marlborough Street, Soho to Whiteley's, Bayswater",0,0,0,0,1,0,0,0,1
"Broadwick Street, Soho","Great Marlborough Street, Soho","Broadwick Street, Soho to Great Marlborough Street, Soho",0,0,0,0,1,0,0,0,1
"Lancaster Gate , Bayswater","Little Argyll Street, West End","Lancaster Gate , Bayswater to Little Argyll Street, West End",0,0,0,0,1,0,0,0,1
"Howland Street, Fitzrovia","Frith Street, Soho","Howland Street, Fitzrovia to Frith Street, Soho",0,0,0,0,1,0,0,0,1
"Tavistock Place, Bloomsbury","Howland Street, Fitzrovia","Tavistock Place, Bloomsbury to Howland Street, Fitzrovia",0,0,0,0,1,0,0,0,1
"Brunswick Square, Bloomsbury","Broadwick Street, Soho","Brunswick Square, Bloomsbury to Broadwick Street, Soho",0,0,0,0,2,0,0,0,2
"Lancaster Gate , Bayswater","Southampton Place, Holborn","Lancaster Gate , Bayswater to Southampton Place, Holborn",0,0,0,0,1,0,0,0,1
"Cleveland Gardens, Bayswater","Bishop's Bridge Road West, Bayswater","Cleveland Gardens, Bayswater to Bishop's Bridge Road West, Bayswater",0,0,0,0,1,0,0,0,1
"Serpentine Car Park, Hyde Park","Bishop's Bridge Road West, Bayswater","Serpentine Car Park, Hyde Park to Bishop's Bridge Road West, Bayswater",0,0,0,0,1,0,0,0,1
"Lancaster Gate , Bayswater","Cleveland Gardens, Bayswater","Lancaster Gate , Bayswater to Cleveland Gardens, Bayswater",0,0,0,0,1,0,0,0,1
"Moor Street, Soho","Serpentine Car Park, Hyde Park","Moor Street, Soho to Serpentine Car Park, Hyde Park",0,0,0,0,1,0,0,0,1
"Lancaster Gate , Bayswater","Pembridge Villas, Notting Hill","Lancaster Gate , Bayswater to Pembridge Villas, Notting Hill",0,0,0,0,1,0,0,0,1
"Lancaster Gate , Bayswater","William IV Street, Strand","Lancaster Gate , Bayswater to William IV Street, Strand",0,0,0,0,1,2,5,0,8
"Wardour Street, Soho","Wells Street, Fitzrovia ","Wardour Street, Soho to Wells Street, Fitzrovia ",0,0,0,0,1,0,0,0,1
"Wardour Street, Soho","Cleveland Gardens, Bayswater","Wardour Street, Soho to Cleveland Gardens, Bayswater",0,0,0,0,1,0,0,0,1
"Broadwick Street, Soho","Lancaster Gate , Bayswater","Broadwick Street, Soho to Lancaster Gate , Bayswater",0,0,0,0,1,0,0,0,1
"Moor Street, Soho","Cumberland Gate, Hyde Park","Moor Street, Soho to Cumberland Gate, Hyde Park",0,0,0,0,1,0,0,0,1
"Cumberland Gate, Hyde Park","Whiteley's, Bayswater","Cumberland Gate, Hyde Park to Whiteley's, Bayswater",0,0,0,0,1,0,0,0,1
"Belgrove Street , King's Cross","Soho Square , Soho","Belgrove Street , King's Cross to Soho Square , Soho",0,0,0,0,1,0,0,0,1
"Belgrove Street , King's Cross","Great Russell Street, Bloomsbury","Belgrove Street , King's Cross to Great Russell Street, Bloomsbury",0,0,0,0,0,3,1,0,4
"Speakers' Corner 2, Hyde Park","Marylebone Lane, Marylebone","Speakers' Corner 2, Hyde Park to Marylebone Lane, Marylebone",0,0,0,0,0,1,0,0,1
"Marylebone Lane, Marylebone","Lancaster Gate , Bayswater","Marylebone Lane, Marylebone to Lancaster Gate , Bayswater",0,0,0,0,0,1,0,0,1
"Russell Square Station, Bloomsbury","Moor Street, Soho","Russell Square Station, Bloomsbury to Moor Street, Soho",0,0,0,0,0,1,0,0,1
"Soho Square , Soho","Whiteley's, Bayswater","Soho Square , Soho to Whiteley's, Bayswater",0,0,0,0,0,1,0,0,1
"Earnshaw Street , Covent Garden","William IV Street, Strand","Earnshaw Street , Covent Garden to William IV Street, Strand",0,0,0,0,0,1,0,0,1
"Old Quebec Street, Marylebone","Russell Square Station, Bloomsbury","Old Quebec Street, Marylebone to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Lancaster Gate , Bayswater","Speakers' Corner 2, Hyde Park","Lancaster Gate , Bayswater to Speakers' Corner 2, Hyde Park",0,0,0,0,0,2,0,0,2
"Butler Place, Westminster","Moor Street, Soho","Butler Place, Westminster to Moor Street, Soho",0,0,0,0,0,2,0,0,2
"Wellington Arch, Hyde Park","Butler Place, Westminster","Wellington Arch, Hyde Park to Butler Place, Westminster",0,0,0,0,0,1,0,0,1
"Belgrove Street , King's Cross","Cardinal Place, Victoria","Belgrove Street , King's Cross to Cardinal Place, Victoria",0,0,0,0,0,1,0,0,1
"Moor Street, Soho","Belgrove Street , King's Cross","Moor Street, Soho to Belgrove Street , King's Cross",0,0,0,0,0,1,0,0,1
"Westbourne Grove, Bayswater","Doric Way , Somers Town","Westbourne Grove, Bayswater to Doric Way , Somers Town",0,0,0,0,0,1,0,0,1
"Doric Way , Somers Town","Frith Street, Soho","Doric Way , Somers Town to Frith Street, Soho",0,0,0,0,0,1,0,0,1
"Great Marlborough Street, Soho","Russell Square Station, Bloomsbury","Great Marlborough Street, Soho to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Broadwick Street, Soho","Devonshire Terrace, Bayswater","Broadwick Street, Soho to Devonshire Terrace, Bayswater",0,0,0,0,0,1,0,0,1
"Belgrove Street , King's Cross","Doric Way , Somers Town","Belgrove Street , King's Cross to Doric Way , Somers Town",0,0,0,0,0,1,0,0,1
"Russell Square Station, Bloomsbury","Bishop's Bridge Road West, Bayswater","Russell Square Station, Bloomsbury to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,2,0,0,2
"Moor Street, Soho","Russell Square Station, Bloomsbury","Moor Street, Soho to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Crosswall, Tower","Stepney Green Station, Stepney","Crosswall, Tower to Stepney Green Station, Stepney",0,0,0,0,0,1,0,0,1
"Crosswall, Tower","Doric Way , Somers Town","Crosswall, Tower to Doric Way , Somers Town",0,0,0,0,0,1,0,0,1
"Stepney Green Station, Stepney","Crosswall, Tower","Stepney Green Station, Stepney to Crosswall, Tower",0,0,0,0,0,1,0,0,1
"Doric Way , Somers Town","Russell Square Station, Bloomsbury","Doric Way , Somers Town to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Belgrove Street , King's Cross","Butler Place, Westminster","Belgrove Street , King's Cross to Butler Place, Westminster",0,0,0,0,0,1,0,0,1
"Brunswick Square, Bloomsbury","Devonshire Terrace, Bayswater","Brunswick Square, Bloomsbury to Devonshire Terrace, Bayswater",0,0,0,0,0,2,0,0,2
"Embankment (Horse Guards), Westminster","Crosswall, Tower","Embankment (Horse Guards), Westminster to Crosswall, Tower",0,0,0,0,0,1,0,0,1
"Southampton Place, Holborn","Brunswick Square, Bloomsbury","Southampton Place, Holborn to Brunswick Square, Bloomsbury",0,0,0,0,0,1,0,0,1
"Brunswick Square, Bloomsbury","Bishop's Bridge Road West, Bayswater","Brunswick Square, Bloomsbury to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,1,0,0,1
"Brunswick Square, Bloomsbury","Great Russell Street, Bloomsbury","Brunswick Square, Bloomsbury to Great Russell Street, Bloomsbury",0,0,0,0,0,1,0,0,1
"Great Russell Street, Bloomsbury","Russell Square Station, Bloomsbury","Great Russell Street, Bloomsbury to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Bayswater Road, Hyde Park","William IV Street, Strand","Bayswater Road, Hyde Park to William IV Street, Strand",0,0,0,0,0,1,0,0,1
"Speakers' Corner 2, Hyde Park","Whiteley's, Bayswater","Speakers' Corner 2, Hyde Park to Whiteley's, Bayswater",0,0,0,0,0,1,0,0,1
"Earnshaw Street , Covent Garden","Moor Street, Soho","Earnshaw Street , Covent Garden to Moor Street, Soho",0,0,0,0,0,1,0,0,1
"Russell Square Station, Bloomsbury","Speakers' Corner 2, Hyde Park","Russell Square Station, Bloomsbury to Speakers' Corner 2, Hyde Park",0,0,0,0,0,1,0,0,1
"Speakers' Corner 2, Hyde Park","William IV Street, Strand","Speakers' Corner 2, Hyde Park to William IV Street, Strand",0,0,0,0,0,1,0,0,1
"Belgrove Street , King's Cross","Wellington Arch, Hyde Park","Belgrove Street , King's Cross to Wellington Arch, Hyde Park",0,0,0,0,0,1,0,0,1
"Wellington Arch, Hyde Park","Albert Gate, Hyde Park","Wellington Arch, Hyde Park to Albert Gate, Hyde Park",0,0,0,0,0,1,0,0,1
"Belgrove Street , King's Cross","Devonshire Terrace, Bayswater","Belgrove Street , King's Cross to Devonshire Terrace, Bayswater",0,0,0,0,0,1,0,0,1
"Beaumont Street, Marylebone","Belgrove Street , King's Cross","Beaumont Street, Marylebone to Belgrove Street , King's Cross",0,0,0,0,0,1,0,0,1
"Wardour Street, Soho","Wellington Road, St. John's Wood","Wardour Street, Soho to Wellington Road, St. John's Wood",0,0,0,0,0,1,0,0,1
"Southampton Place, Holborn","Russell Square Station, Bloomsbury","Southampton Place, Holborn to Russell Square Station, Bloomsbury",0,0,0,0,0,1,0,0,1
"Elizabeth Bridge, Victoria","Bishop's Bridge Road West, Bayswater","Elizabeth Bridge, Victoria to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,1,0,0,1
"Brunswick Square, Bloomsbury","Southampton Place, Holborn","Brunswick Square, Bloomsbury to Southampton Place, Holborn",0,0,0,0,0,2,0,0,2
"Notting Hill Gate Station, Notting Hill","Phillimore Gardens, Kensington","Notting Hill Gate Station, Notting Hill to Phillimore Gardens, Kensington",0,0,0,0,0,1,0,0,1
"Wardour Street, Soho","Charlotte Street, Fitzrovia","Wardour Street, Soho to Charlotte Street, Fitzrovia",0,0,0,0,0,1,0,0,1
"Vicarage Gate, Kensington","Princes Square, Bayswater","Vicarage Gate, Kensington to Princes Square, Bayswater",0,0,0,0,0,1,0,0,1
"Phillimore Gardens, Kensington","Vicarage Gate, Kensington","Phillimore Gardens, Kensington to Vicarage Gate, Kensington",0,0,0,0,0,1,0,0,1
"Ilchester Gardens, Bayswater","Notting Hill Gate Station, Notting Hill","Ilchester Gardens, Bayswater to Notting Hill Gate Station, Notting Hill",0,0,0,0,0,1,0,0,1
"Charlotte Street, Fitzrovia","Belgrove Street , King's Cross","Charlotte Street, Fitzrovia to Belgrove Street , King's Cross",0,0,0,0,0,1,0,0,1
"Whiteley's, Bayswater","Notting Hill Gate Station, Notting Hill","Whiteley's, Bayswater to Notting Hill Gate Station, Notting Hill",0,0,0,0,0,1,1,0,2
"Turquoise Island, Notting Hill","Westbourne Grove, Bayswater","Turquoise Island, Notting Hill to Westbourne Grove, Bayswater",0,0,0,0,0,1,0,0,1
"Southampton Place, Holborn","Cumberland Gate, Hyde Park","Southampton Place, Holborn to Cumberland Gate, Hyde Park",0,0,0,0,0,1,0,0,1
